"","X","Symbol","Score","Filters","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","Study_counts"
"11",240,"CD22",17,"meaburn2.sd gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser4.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,2,5,1,2,1,7
"12",263,"DDX11",21,"gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,2,8,2,1,2,7
"13",349,"KCNG1",10,"gosch.vp obermoser1.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp obermoser3.rp dusek.rp rusch.rp larocca.rp",1,1,2,3,1,1,1,7
"14",367,"ANK1",17,"meaburn1.sd gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp dusek.rp rusch.rp larocca.rp",1,5,2,4,2,2,1,7
"15",408,"STAP1",13,"meaburn1.sd gomez.vp gosch.vp obermoser1.vp obermoser3.vp dusek.vp gomez.rp meaburn1.rp obermoser1.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp",2,2,1,5,1,1,1,7
"16",413,"MYOM2",21,"gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,2,8,2,2,1,7
"17",429,"VCAN",14,"gosch.vp obermoser1.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,1,2,5,2,2,1,7
"18",459,"ADAM28",14,"obermoser1.vp obermoser2.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,2,1,5,2,2,1,7
"19",483,"XK",17,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,6,1,1,2,7
"20",506,"COL9A2",14,"gomez.vp gosch.vp meaburn2.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp larocca.rp",2,3,2,3,2,1,1,7
"21",525,"DKK3",14,"gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser3.vp dusek.vp rusch.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser3.rp rusch.rp larocca.rp",1,4,1,4,1,2,1,7
"22",550,"FOXN3",11,"gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser2.vp dusek.vp rusch.vp larocca.vp meaburn1.rp meaburn2.rp dusek.rp",1,4,1,1,2,1,1,7
"23",603,"PITHD1",19,"gomez.sd gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",3,3,2,6,2,2,1,7
"24",632,"WNK1",17,"obermoser4.sd dusek.sd meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,2,1,7,3,2,1,7
"25",641,"BCAT1",19,"gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,6,2,2,2,7
"26",697,"CHI3L2",21,"gomez.sd meaburn1.sd obermoser2.sd gomez.vp gosch.vp meaburn2.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",3,4,2,7,2,2,1,7
"27",770,"FECH",22,"gomez.sd meaburn2.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",3,5,2,7,2,2,1,7
"28",824,"KIF2A",14,"gomez.vp gosch.vp meaburn2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp meaburn1.rp meaburn2.rp obermoser1.rp dusek.rp rusch.rp larocca.rp",1,3,1,3,2,2,2,7
"29",897,"VASH1",20,"meaburn1.sd rusch.sd gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,1,8,2,2,1,7
"30",911,"CYBRD1",20,"meaburn2.sd gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,2,8,1,1,2,7
"31",936,"FCGR2B",21,"gomez.sd meaburn1.sd gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",3,3,2,8,2,1,2,7
"32",972,"PICALM",18,"meaburn1.sd meaburn2.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp larocca.vp meaburn1.rp meaburn2.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",1,6,1,5,2,2,1,7
"33",982,"MGLL",16,"gomez.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,1,1,8,2,1,1,7
"34",1018,"MARK3",11,"rusch.sd gomez.vp meaburn2.vp obermoser1.vp dusek.vp larocca.vp gosch.rp meaburn2.rp obermoser1.rp dusek.rp rusch.rp",1,2,1,2,2,2,1,7
"35",1058,"MBNL3",17,"gomez.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,1,1,8,2,2,1,7
"36",1059,"RAP1GAP",18,"gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp",2,2,2,7,1,2,2,7
"37",1130,"TNS1",19,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,1,2,8,2,2,2,7
"38",1135,"CEACAM1",17,"meaburn1.sd meaburn2.sd gomez.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp dusek.rp larocca.rp",2,6,1,4,2,1,1,7
"39",1289,"ABCB1",15,"gomez.vp gosch.vp meaburn2.vp obermoser2.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp dusek.rp rusch.rp larocca.rp",2,3,2,3,2,2,1,7
"40",1313,"EIF2AK1",18,"gomez.sd gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser4.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",3,3,2,6,1,2,1,7
"41",1415,"OAS1",22,"gomez.sd rusch.sd gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,8,2,3,2,7
"42",1420,"RPH3A",13,"meaburn1.sd gomez.vp gosch.vp meaburn2.vp obermoser4.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,2,2,1,1,1,7
"43",1461,"IRAK3",14,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp dusek.vp larocca.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,3,1,4,2,1,2,7
"44",1478,"PDPR",17,"rusch.sd gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,1,1,8,2,3,1,7
"45",1496,"IL5RA",18,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,8,1,1,1,7
"46",1499,"ITGA6",13,"gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp dusek.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp dusek.rp rusch.rp larocca.rp",1,4,2,2,2,1,1,7
"47",1601,"DSP",10,"obermoser2.vp dusek.vp larocca.vp gomez.rp gosch.rp meaburn1.rp obermoser2.rp dusek.rp rusch.rp larocca.rp",1,1,1,2,2,1,2,7
"48",1700,"GCAT",18,"meaburn2.sd gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser3.vp obermoser4.vp dusek.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp",1,5,2,7,1,1,1,7
"49",1711,"TPTEP1",15,"gomez.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,1,1,8,2,1,1,7
"50",1775,"FAM118A",24,"gomez.sd meaburn1.sd rusch.sd larocca.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",3,5,2,8,1,3,2,7
"51",1800,"GZMH",20,"gomez.sd gomez.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",3,4,1,8,2,1,1,7
"52",1801,"GZMB",16,"obermoser1.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,2,1,7,2,2,1,7
"53",1838,"PPM1A",17,"gomez.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp rusch.vp larocca.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp",1,4,1,7,1,2,1,7
"54",1849,"TCL1A",14,"gosch.vp obermoser3.vp obermoser4.vp dusek.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,2,2,5,2,1,1,7
"55",1913,"TUBB1",13,"obermoser2.vp obermoser3.vp dusek.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,1,1,6,2,1,1,7
"56",1937,"SIRPB1",21,"meaburn2.sd obermoser4.sd gomez.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,1,9,2,2,2,7
"57",1961,"BPI",16,"gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser3.vp dusek.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,1,6,2,1,1,7
"58",1993,"RIOK3",22,"obermoser2.sd obermoser4.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,2,8,2,2,2,7
"59",2050,"CD40LG",13,"meaburn2.sd gomez.vp gosch.vp meaburn2.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn2.rp obermoser2.rp obermoser3.rp dusek.rp",2,3,2,2,2,1,1,7
"60",2133,"NPRL3",20,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,2,2,8,2,2,2,7
"61",2167,"GSPT1",20,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,7,2,2,2,7
"62",2171,"PRSS33",19,"gomez.vp meaburn1.vp meaburn2.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,1,7,2,2,1,7
"63",2231,"ZDHHC2",10,"dusek.sd gomez.vp gosch.vp meaburn1.vp obermoser3.vp dusek.vp meaburn1.rp dusek.rp rusch.rp larocca.rp",1,2,1,1,3,1,1,7
"64",2235,"CA2",21,"gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,8,2,2,2,7
"65",2286,"BNIP3L",18,"obermoser4.sd gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,7,2,1,1,7
"66",2311,"KLC3",16,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,1,2,7,2,1,1,7
"67",2319,"FCER2",17,"gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser3.vp obermoser4.vp dusek.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,1,7,2,1,1,7
"68",2384,"SIGLEC8",17,"gomez.vp gosch.vp meaburn2.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,3,2,5,2,2,2,7
"69",2385,"CD79A",18,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,1,1,8,2,2,2,7
"70",2389,"NKG7",16,"obermoser1.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,2,1,7,2,2,1,7
"71",2420,"KLF1",14,"meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,1,1,6,2,2,1,7
"72",2544,"TMEM176B",21,"meaburn2.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,5,2,7,1,2,2,7
"73",2567,"NMRK1",17,"obermoser4.sd gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",1,2,1,9,2,1,1,7
"74",2569,"PRUNE2",23,"obermoser4.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,2,9,2,2,2,7
"75",2591,"KANK1",16,"gosch.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,2,1,7,2,1,2,7
"76",2611,"PDLIM1",14,"gomez.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp larocca.rp",2,1,1,6,2,1,1,7
"77",2614,"HPS1",18,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,1,2,8,2,2,1,7
"78",2681,"KRT23",20,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,2,2,8,2,2,2,7
"79",2686,"RUNDC3A",16,"gomez.vp gosch.vp meaburn2.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,2,2,5,2,2,1,7
"80",2754,"ABCC3",18,"obermoser2.sd gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp",1,3,2,9,1,1,1,7
"81",2757,"DUSP3",14,"gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp",1,2,1,7,1,1,1,7
"82",2789,"PF4V1",19,"gomez.vp gosch.vp meaburn1.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,6,2,2,2,7
"83",2854,"MS4A6A",20,"obermoser2.sd obermoser4.sd gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,3,2,10,2,1,1,7
"84",2865,"FOLR3",19,"gomez.sd gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,7,1,2,2,7
"85",2907,"VWF",14,"gomez.vp gosch.vp obermoser2.vp obermoser4.vp rusch.vp gomez.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,1,1,6,1,2,1,7
"86",2931,"LIN7A",19,"meaburn1.sd gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,1,8,2,1,1,7
"87",2993,"CHPT1",22,"gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,2,8,2,2,2,7
"88",3019,"FGFR1OP2",13,"gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp dusek.vp rusch.vp gosch.rp meaburn1.rp meaburn2.rp dusek.rp rusch.rp larocca.rp",1,4,2,1,2,2,1,7
"89",3032,"ADTRP",18,"meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,3,1,8,2,2,1,7
"90",3075,"E2F3",10,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser4.vp dusek.vp meaburn2.rp dusek.rp rusch.rp larocca.rp",1,2,1,2,2,1,1,7
