"dataset","feature_set","algorithm","genes_used","AUC_5fold10xCV"
"GSE3","GSE1GENES","nb",813,0.558
"GSE3","TRAIT","nb",813,0.557
"GSE3","GSE3GENES","pls",813,0.729
"GSE3","TRAIT","pls",813,0.617
"GSE3","GSE1GENES","pls",813,0.601
"GSE3","GSE2GENES","pls",813,0.6
"GSE3","GSE4GENES","pls",813,0.591
"GSE3","GSE5GENES","pls",813,0.591
"GSE3","GSE3GENES","rf",813,0.629
"GSE3","TRAIT","rf",813,0.581
"GSE3","GSE4GENES","rf",813,0.578
"GSE3","GSE1GENES","rf",813,0.563
"GSE3","GSE5GENES","rf",813,0.557
"GSE3","GSE2GENES","rf",813,0.528
"GSE4","GSE4GENES","glmnet",813,0.743
"GSE4","TRAIT","glmnet",813,0.667
"GSE4","GSE2GENES","glmnet",813,0.661
"GSE4","GSE1GENES","glmnet",813,0.65
"GSE4","GSE5GENES","glmnet",813,0.65
"GSE4","GSE3GENES","glmnet",813,0.604
"GSE4","GSE4GENES","nb",813,0.659
"GSE4","TRAIT","nb",813,0.593
"GSE4","GSE5GENES","nb",813,0.563
"GSE4","GSE1GENES","nb",813,0.558
"GSE4","GSE2GENES","nb",813,0.556
"GSE4","GSE3GENES","nb",813,0.554
"GSE4","GSE4GENES","pls",813,0.918
"GSE4","TRAIT","pls",813,0.682
"GSE4","GSE5GENES","pls",813,0.674
"GSE4","GSE1GENES","pls",813,0.671
"GSE4","GSE2GENES","pls",813,0.671
"GSE4","GSE3GENES","pls",813,0.635
"GSE4","GSE4GENES","rf",813,0.709
"GSE4","GSE3GENES","rf",813,0.651
"GSE4","TRAIT","rf",813,0.643
"GSE4","GSE5GENES","rf",813,0.629
"GSE4","GSE1GENES","rf",813,0.628
"GSE4","GSE2GENES","rf",813,0.607
"GSE5","GSE5GENES","glmnet",813,0.637
"GSE5","TRAIT","glmnet",813,0.523
"GSE5","GSE4GENES","glmnet",813,0.507
"GSE5","GSE2GENES","glmnet",813,0.504
"GSE5","GSE1GENES","glmnet",813,0.49
"GSE5","GSE3GENES","glmnet",813,0.46
"GSE5","GSE5GENES","nb",813,0.597
"GSE5","TRAIT","nb",813,0.493
"GSE5","GSE3GENES","nb",813,0.491
"GSE5","GSE1GENES","nb",813,0.479
"GSE5","GSE4GENES","nb",813,0.456
"GSE5","GSE2GENES","nb",813,0.445
"GSE5","GSE5GENES","pls",813,0.634
"GSE5","TRAIT","pls",813,0.556
"GSE5","GSE4GENES","pls",813,0.52
"GSE5","GSE2GENES","pls",813,0.516
"GSE5","GSE3GENES","pls",813,0.504
"GSE5","GSE1GENES","pls",813,0.494
"GSE5","GSE5GENES","rf",813,0.543
"GSE5","TRAIT","rf",813,0.48
"GSE5","GSE4GENES","rf",813,0.48
"GSE5","GSE2GENES","rf",813,0.471
"GSE5","GSE3GENES","rf",813,0.458
"GSE5","GSE1GENES","rf",813,0.435
