"","eQTL p_val","GWAS p_val","#State Studies","#Trait Studies","Expression Level Percentile","Repeatability Percentile","Genetic Var Percentile","#Trait Assoc"
"TRIM4",44.48,8.15,5,4,37,28,29,55
"PLCL1",44.05,9.7,4,4,65,44,39,108
"NME6",43.37,10.7,2,1,32,64,72,99
"CEP63",42.82,6.3,4,3,5.9,16,30,20
"BET1L",41.77,10.52,2,3,24,55,72,110
"SUMF2",40.32,8.4,2,5,19,27,38,29
"MTHFR",39.36,6.7,2,6,20,17,33,72
"RAC1",38.01,10,4,4,88,64,72,51
"MICA",37.52,10.22,0,6,42,11,22,321
"IREB2",35.85,9,5,1,71,44,58,110
"EIF2B2",35.77,12.1,1,4,21,47,70,58
"TMEM87B",34.74,8.52,4,4,43,53,44,29
"PECAM1",33.89,14,2,7,9.8,2.9,13,16
"PRKD2",33.89,5.1,3,4,9,33,34,20
"HCG27",33.82,12.52,3,5,7.1,8.3,11,678
"RPL10",33.17,7.7,3,3,4.4,33,52,24
"SAYSD1",32.92,11.52,3,4,30,7.3,30,35
"AP4B1",32.4,11.22,3,1,16,28,52,32
"TMEM106B",30.85,7.52,5,2,36,33,23,68
"CCR3",30.02,5.7,3,8,12,0.64,0.91,111
"KLC1",29.54,8.52,3,1,44,73,74,104
"TMED9",28.89,6,1,2,8.2,51,64,29
"EIF6",28.85,11.3,2,3,16,31,54,60
"THOC5",28.77,7,2,3,11,17,33,15
"RNASEH2C",27.89,11,3,2,16,29,39,187
"TRAF3IP3",27.89,7.7,5,5,2,18,42,44
"CFDP1",27.4,25,4,1,24,69,73,120
"ARNT",26.54,14,0,2,40,69,73,168
"CAMK1D",25.46,13.1,1,5,24,11,11,42
"PIGV",25.37,7.4,3,2,19,79,86,317
"ZDHHC18",23.82,8.05,2,3,8.4,15,23,330
"CSNK1G1",21.43,8,1,3,45,66,74,44
"NME1",20.6,7.4,3,6,24,28,28,14
"AKAP13",20.13,6.22,4,3,20,43,38,16
"TMEM9B",19.72,8.7,4,2,4.5,20,45,9
"GFPT1",18.92,9.3,4,3,54,70,62,21
"PPA2",18.8,6.4,4,7,20,14,22,53
"UBASH3B",18.6,7.4,2,5,50,31,52,58
"OASL",18.59,19.7,3,6,15,2.4,1.8,221
"MAT2A",17.82,30.4,3,1,3,56,64,31
"SURF1",17.77,19.7,3,2,5.5,22,49,765
"BLZF1",17.36,12.4,3,1,74,71,69,18
"DDX59",16.77,8.4,5,2,24,32,53,6
"CWF19L2",16.6,9.15,4,3,47,52,62,22
"ADAM19",15.77,7.52,2,5,6.9,23,28,36
"MCM6",15.74,5.4,4,4,13,9.5,17,173
"MCL1",15.42,14,5,3,6.6,49,46,87
"SSH2",15.27,11.22,4,5,43,24,36,63
"PSMA4",14.96,17.22,3,3,5.4,39,37,137
"TAF1A",14.89,47.3,4,0,78,66,59,30
"CCNL1",14.85,10.52,4,2,11,58,45,18
"IL6R",14.21,16.22,3,4,3.2,15,14,71
"SNX1",13.74,8,5,3,9.2,51,70,32
"TRIP4",13.37,8,3,0,12,64,76,33
"CTSS",13.36,14,5,7,1.2,28,34,175
"PML",13.17,6.15,2,4,67,73,74,25
"TBXAS1",13.04,10.05,3,5,6.2,7.1,22,14
"PLEKHA1",12.89,9.7,4,2,17,29,29,37
"PPFIA1",12.26,5.7,5,2,23,52,51,7
"TP53INP1",12.16,8.52,3,3,2.8,18,23,52
"XPO6",12.12,7.7,3,3,0.92,13,25,12
"CABIN1",11.82,8.4,1,2,13,47,53,11
"RRBP1",11.59,7.7,2,3,37,61,57,20
"DHDDS",11.51,8.05,1,0,31,80,86,17
"PBX2",11.43,8.22,3,2,11,22,37,393
"DOCK5",11.42,7.7,4,4,48,32,39,2
"PPHLN1",11.3,7.52,4,2,26,60,68,29
"PCCB",11.2,14.22,2,3,25,29,55,210
"MAP1S",10.89,14.52,2,1,24,50,52,21
"MAP4",10.72,10.7,4,0,30,61,59,57
"WWP2",10.33,11,4,1,24,66,72,30
"IP6K2",10.31,10.22,3,3,16,34,58,153
"SORD",9.89,5.7,1,3,27,8.6,23,13
"QRICH1",9.74,7.22,3,1,5.9,60,80,196
"TNS1",9.37,12,4,7,17,8,4.8,40
"MAPKAPK5-AS1",9.28,7.05,5,3,12,49,64,102
"CSTF2T",9.09,5.52,3,1,32,71,65,9
"DNAJB12",9.07,10.4,3,2,39,57,70,31
"TAF9B",9.05,7.7,3,5,49,34,40,8
"RRP1B",8.8,6.7,2,3,18,31,32,13
"ALDH2",8.55,24.7,2,4,4.4,4.8,13,92
"SFMBT1",8.51,8.7,3,0,35,34,52,204
"NT5C2",8.31,23,4,2,3.3,22,32,122
"ATP6V0A1",7.96,11.52,3,2,11,38,61,12
"BUD13",7.92,16.4,1,0,28,77,82,988
"TSPAN14",7.92,10.7,3,2,9.6,58,71,42
"SIPA1",7.8,11,3,1,3.6,77,83,120
"BAG5",7.8,8.52,2,3,51,42,54,65
"RPL7L1",7.8,7,3,1,34,59,72,9
"RTF1",7.77,6.7,3,2,14,41,42,60
"RDX",7.72,18.52,4,2,63,61,56,22
"IKBKG",7.68,7.7,3,2,8.9,62,75,7
"TRAF1",7.64,8.1,1,0,48,58,70,12
"ARHGEF6",7.51,8.05,1,3,2.3,18,51,3
"PRKAR1A",7.27,9.3,5,4,1,63,56,44
"MLH3",7.09,12.1,3,4,38,23,29,17
"PLEKHJ1",7.04,8.4,1,1,25,79,84,18
"CD300LF",7.03,7,2,7,3.7,3.8,18,18
"LNPEP",6.96,7.52,3,5,50,38,40,34
"SKP2",6.96,7.4,4,1,28,52,54,10
"EDEM2",6.8,10,2,0,18,56,72,66
"PARP1",6.8,5.15,2,3,7,36,49,14
"ZNF664",6.74,8.4,3,1,32,44,45,203
"CHP1",6.72,8.15,2,1,15,52,62,49
"CLOCK",6.3,7.3,5,2,37,71,75,25
"TMEM165",6.26,7.3,4,3,24,51,36,28
"POC1B",5.96,24.15,4,5,23,29,29,74
"ING1",5.82,7.3,3,3,31,70,79,10
"UFL1",5.68,9.05,4,2,38,74,53,50
"CTSA",5.54,8.52,2,3,3.1,24,35,8
"LST1",5.37,12.52,2,4,1.6,22,32,159
"FLNA",5.14,7.7,4,1,24,53,42,16
"MTAP",5.01,18.4,2,3,54,60,63,14
"NOC3L",4.96,12.7,4,2,33,49,38,154
"HMBS",4.92,10.1,2,6,20,16,23,30
"HNRNPUL1",4.85,15.3,2,2,2.8,59,76,10
"ANP32B",4.6,5.4,4,5,1.9,17,35,13
"SH3PXD2A",4.55,8.52,3,3,32,32,48,51
"CNPY4",4.43,8.15,2,2,36,46,61,52
"NUDT5",4.36,13.1,3,5,21,12,24,29
"NAA25",4.27,24.7,5,1,35,58,62,112
"NRIP1",3.8,8.15,4,1,29,41,35,3
"TOM1L2",3.68,9.52,3,1,31,51,70,40
"SSH1",3.68,9.22,3,2,31,40,48,18
"HSPA1B",3.66,8.52,3,6,25,6,9,117
"DDAH2",3.55,8.52,3,1,29,57,62,161
"ZEB1-AS1",3.42,7.7,3,0,65,54,54,6
"MYO9B",3.08,7.7,4,2,12,79,83,35
"DHX36",3.03,14.52,3,2,24,71,74,24
"ARID1A",3,7.4,2,2,12,66,63,268
"LDLR",2.92,13.52,2,4,29,28,30,79
"ZCRB1",2.77,7.52,4,3,38,37,43,22
"APEH",2.74,7.22,2,2,13,47,70,63
"KAT2A",2.28,11.52,1,2,20,32,58,9
"NFU1",2.24,9.3,4,0,31,61,61,8
"SAP130",2.19,7.52,2,1,18,28,50,2
"PIGU",1.85,10,3,2,37,29,48,47
"CCDC97",1.74,14.15,2,3,16,48,70,4
"SH2B3",1.68,29.3,3,1,6.9,38,54,522
"HBP1",1.13,7.4,4,2,53,45,46,4
