"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","34/596","125/3051",0.0210961542436411,0.420516674589912,0.413040493612341,"2776/1398/567/2771/5595/5734/5532/6655/59345/801/3106/6892/1147/387/836/11214/5879/5290/10681/3708/5533/6009/54205/1386/5604/5743/7188/6654/841/7852/3685/805/2782/5567",34
"hsa03015","Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","19/596","62/3051",0.0234595323073467,0.438400009993541,0.430605889062482,"64895/10767/5519/5411/4116/5528/10914/5527/11051/5520/23049/81608/2107/22916/51585/5515/2521/1479/55339",19
"hsa04916","Organismal Systems","Endocrine system","hsa04916","Melanogenesis","11/596","32/3051",0.034414161240222,0.558360320025316,0.548433477511224,"2776/1387/2771/5595/801/818/817/5604/7976/805/5567",11
"hsa03040","Genetic Information Processing","Transcription","hsa03040","Spliceosome","28/596","103/3051",0.0346532658383797,0.558360320025316,0.548433477511224,"6629/6632/57187/23658/27316/10285/10569/6432/4116/6426/23350/3183/29896/23451/58517/3190/5356/6627/22916/988/2521/6427/6429/10772/6428/220988/27258/3192",28
"hsa04922","Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","13/596","40/3051",0.0354810905701706,0.558360320025316,0.548433477511224,"5211/2776/1387/5532/5160/801/818/3708/5533/817/1386/805/5567",13
"hsa05031","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","9/596","25/3051",0.0402366396367449,0.601537762569337,0.590843287297465,"5532/801/818/5533/817/1386/805/5567/3725",9
"hsa04971","Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","9/596","26/3051",0.0512665414727293,0.714920772182886,0.702210510258846,"2776/2771/60/801/818/3708/817/805/5567",9
"hsa04540","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","11/596","34/3051",0.0526028661806806,0.714920772182886,0.702210510258846,"2776/2771/10383/5595/6655/1902/3708/5604/6654/10746/5567",11
"hsa04915","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","16/596","55/3051",0.0561164265987801,0.729513545784141,0.716543845357421,"2776/2771/5595/6655/801/3320/5290/3708/1386/5604/6654/805/9166/5914/5567/3725",16
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","14/596","47/3051",0.0597245498862544,0.733503841758117,0.720463199614556,"4209/2776/6256/2771/5595/2625/387/11214/673/3708/1386/5604/5142/5567",14
"hsa05211","Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","13/596","43/3051",0.0613297526553609,0.733503841758117,0.720463199614556,"1387/1398/5595/6655/3091/7030/5879/5290/673/5604/6654/5906/3725",13
"hsa03082","Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","16/596","56/3051",0.0649550695863986,0.741752920134628,0.728565621255277,"26039/55257/9643/80314/55274/60/53615/1108/7528/6595/54815/64769/1107/64431/6597/6605",16
"hsa00900","Metabolism","Metabolism of terpenoids and polyketides","hsa00900","Terpenoid backbone biosynthesis","6/596","16/3051",0.073698485455716,0.741752920134628,0.728565621255277,"57107/3422/10269/2339/3157/9453",6
"hsa04270","Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","11/596","36/3051",0.0763136744940741,0.741752920134628,0.728565621255277,"2776/4659/4627/5595/801/387/673/3708/5604/805/5567",11
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","15/596","53/3051",0.0778419230015223,0.741752920134628,0.728565621255277,"4087/2771/5595/6416/6655/59345/5609/5290/10681/1386/5604/6654/2782/5567/3725",15
"hsa04722","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","20/596","75/3051",0.0798980725826501,0.741752920134628,0.728565621255277,"1398/5595/6655/5609/801/818/4214/387/5879/5290/673/817/51135/5604/6654/5170/805/396/5906/3725",20
"hsa05210","Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","13/596","45/3051",0.0842145100470477,0.741752920134628,0.728565621255277,"4087/5595/6655/5898/387/836/5879/5290/673/54205/5604/6654/3725",13
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","29/596","116/3051",0.0843333793536275,0.741752920134628,0.728565621255277,"6256/57534/5595/1965/5532/6416/10010/5609/801/3320/818/1147/387/836/5879/5290/3708/5452/5533/817/51135/54205/8797/5170/23643/841/805/5906/3725",29
"hsa05014","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","47/596","200/3051",0.0871692186731206,0.741752920134628,0.728565621255277,"11047/3799/311/29982/8878/1350/1349/29978/10383/7385/5684/1965/6432/5532/9782/8480/4708/60/10010/7175/5687/25978/203228/348995/10671/836/7381/5879/4714/1639/1327/4709/374291/29979/5533/54205/1345/51164/2521/4928/129401/5861/6428/6392/4710/220988/6391",47
"hsa04714","Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","29/596","117/3051",0.0922315614647066,0.741752920134628,0.728565621255277,"79133/1350/1349/7385/29078/6655/4708/2182/60/6595/7381/4714/2181/1327/4709/374291/6009/1386/1345/6654/84987/6597/493753/6392/4710/6605/116228/5567/6391",29
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","14/596","50/3051",0.0933033508596944,0.741752920134628,0.728565621255277,"4087/2776/2771/5519/5595/6416/5520/1147/5290/51135/8837/5515/841/3725",14
"hsa04730","Organismal Systems","Nervous system","hsa04730","Long-term depression","8/596","25/3051",0.0969993657518627,0.741752920134628,0.728565621255277,"2776/2771/5519/5595/673/3708/5604/5515",8
"hsa04081",NA,NA,"hsa04081","Hormone signaling","12/596","42/3051",0.101633804237904,0.741752920134628,0.728565621255277,"2776/2771/2057/59345/387/5290/10681/4090/3685/7067/2782/5567",12
"hsa04725","Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","12/596","42/3051",0.101633804237904,0.741752920134628,0.728565621255277,"2776/2771/5595/59345/818/5290/10681/3708/817/5604/2782/5567",12
"hsa04935","Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","15/596","55/3051",0.101694007306017,0.741752920134628,0.728565621255277,"2776/1387/1398/2771/5595/8835/6416/6655/4214/5290/3708/1386/5604/6654/5567",15
"hsa05170","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","30/596","123/3051",0.103962853582708,0.741752920134628,0.728565621255277,"2776/1398/567/2771/5595/9616/5532/545/59345/5609/801/3106/6892/164/1147/836/5879/5290/10681/3708/5533/51135/54205/5604/7188/841/7852/805/2782/3725",30
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","11/596","38/3051",0.105835222738674,0.741752920134628,0.728565621255277,"4087/7050/60436/1387/5519/5595/9765/92/387/4090/5515",11
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","14/596","51/3051",0.106673496875549,0.741752920134628,0.728565621255277,"2776/2771/5519/5595/5528/801/5527/818/5520/817/1386/5515/805/5567",14
"hsa04934","Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","14/596","51/3051",0.106673496875549,0.741752920134628,0.728565621255277,"2776/2771/5595/57552/818/9101/673/3708/817/1386/5604/7976/5906/5567",14
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","29/596","119/3051",0.109467413407007,0.743880832015796,0.730655701927151,"1398/8649/2316/5495/5595/5532/6416/10235/6655/5609/1843/4214/1147/836/5879/6788/673/5533/51135/1386/5604/6654/51701/10125/8550/5906/10746/5567/3725",29
"hsa00970","Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","4/596","10/3051",0.112472266429083,0.747315725828793,0.734029528274012,"124454/57038/23395/79731",4
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","28/596","116/3051",0.125145288677601,0.771245912022907,0.757534270214368,"1387/3455/5595/5532/6416/3091/59345/5609/801/3106/1147/836/5879/5290/6233/10681/3708/9976/5533/54205/5604/5743/841/805/7297/64422/2782/3725",28
"hsa05208","Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","28/596","116/3051",0.125145288677601,0.771245912022907,0.757534270214368,"3162/1350/1349/7385/5595/6416/6655/4708/3091/5609/1836/1147/7381/5879/4714/5290/673/1327/4709/374291/5604/1345/6654/5170/6392/4710/3725/6391",28
"hsa04723","Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","15/596","57/3051",0.129579936620379,0.771245912022907,0.757534270214368,"2776/2771/5595/4708/222236/59345/4714/4709/374291/10681/3708/5743/4710/2782/5567",15
"hsa04530","Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","17/596","66/3051",0.130051209979754,0.771245912022907,0.757534270214368,"5519/57826/4627/60/51735/5609/4214/5520/387/5879/5515/10109/5962/5906/5567/3725/50848",17
"hsa04932","Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","22/596","89/3051",0.133126253133001,0.771245912022907,0.757534270214368,"6256/1350/1349/7385/1965/83737/4708/836/7381/5879/4714/5290/1327/4709/374291/54205/1345/841/6392/4710/3725/6391",22
"hsa03018","Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","12/596","44/3051",0.134129723830071,0.771245912022907,0.757534270214368,"11340/5211/694/23658/84186/57472/51010/118460/167227/23019/29883/27258",12
"hsa04012","Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","12/596","44/3051",0.134129723830071,0.771245912022907,0.757534270214368,"1398/5595/6416/6655/5609/818/5290/673/817/5604/6654/3725",12
"hsa05200","Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","50/596","222/3051",0.140899693225307,0.791013471372618,0.776950390821899,"4087/2776/1387/3455/1398/6256/3162/2771/5595/5734/27436/10235/6655/5898/3091/6502/2057/7175/1902/59345/331/801/1164/3320/818/3597/1147/387/836/5879/5290/673/10681/817/54205/5604/5743/7188/7976/6654/10125/841/7852/3685/805/6688/5914/2782/5567/3725",50
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","17/596","67/3051",0.144344926094797,0.791013471372618,0.776950390821899,"1387/4659/2771/5595/801/818/387/5879/5290/673/817/5604/805/5142/5906/5567/3725",17
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","22/596","90/3051",0.145504150252488,0.791013471372618,0.776950390821899,"4087/4659/2316/5595/6655/60/3091/818/387/836/5879/5290/673/3708/817/5604/7976/6654/5170/3685/5962/5567",22
"hsa00100","Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","4/596","11/3051",0.150614098082621,0.804171702262568,0.789874687312996,"6309/6307/3930/120227",4
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","22/596","91/3051",0.158519453729963,0.815228670857852,0.800735078927445,"2776/1398/2771/5595/2870/10235/6655/59345/3702/1147/387/5879/5290/673/10681/5604/6654/3577/7852/5906/2782/5567",22
"hsa03013","Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","17/596","68/3051",0.159479355116227,0.815228670857852,0.800735078927445,"57187/51808/8480/5411/4116/80145/7175/51068/3840/348995/3841/55161/7329/22916/4928/129401/7514",17
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","11/596","41/3051",0.160864520336499,0.815228670857852,0.800735078927445,"29761/5595/6426/3320/1147/836/1994/5743/7188/841/3725",11
"hsa04371","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","14/596","55/3051",0.17088551938043,0.836134098352513,0.821268838022711,"4087/4209/7019/2776/2771/5595/59345/801/10681/3708/5604/805/2782/5567",14
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","26/596","111/3051",0.175049633649292,0.836134098352513,0.821268838022711,"29982/8878/9842/57724/5595/1965/10010/3091/8887/203228/5290/6233/3708/6009/83452/5604/8837/9140/5515/5170/440275/5861/89849/7879/64422/5567",26
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","15/596","60/3051",0.178725442908771,0.836134098352513,0.821268838022711,"2771/5595/5532/818/387/5879/5290/5533/817/7976/5170/7852/23380/6259/9860",15
"hsa03060","Genetic Information Processing","Folding, sorting and degradation","hsa03060","Protein export","6/596","20/3051",0.180160294847911,0.836134098352513,0.821268838022711,"196294/6728/7917/6726/23478/9789",6
"hsa04120","Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","21/596","88/3051",0.181843527704932,0.836134098352513,0.821268838022711,"22888/26091/9616/83737/10477/29945/6502/9354/7319/331/25847/4214/55294/7337/8554/6233/55958/11060/7329/55284/9320",21
"hsa04144","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","34/596","150/3051",0.186453374220546,0.836134098352513,0.821268838022711,"4087/51028/9525/3799/22841/163/57132/8723/9765/26286/2870/83737/10938/377/3106/25978/116984/137492/51699/55680/387/9101/6642/3577/10109/7852/80223/7456/51652/58513/378/10254/7879/375",34
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","19/596","79/3051",0.187076604617355,0.836134098352513,0.821268838022711,"1398/4659/2316/5595/6655/60/331/1729/387/7094/5879/5290/673/5604/6654/5170/3685/5906/3725",19
"hsa01250","Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","5/596","16/3051",0.187478693092675,0.836134098352513,0.821268838022711,"23483/2592/55276/2673/7360",5
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","17/596","70/3051",0.192162003056379,0.836134098352513,0.821268838022711,"122809/1398/5595/8835/6655/23433/801/5290/673/6009/5604/6654/2319/5170/5573/805/5567",17
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","10/596","38/3051",0.192954022696734,0.836134098352513,0.821268838022711,"5595/6655/801/818/5290/673/817/5604/6654/805",10
"hsa05032","Human Diseases","Substance dependence","hsa05032","Morphine addiction","7/596","25/3051",0.201423079216233,0.843965109424218,0.828960624993335,"2771/2870/59345/10681/5142/2782/5567",7
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","16/596","66/3051",0.203614559295965,0.843965109424218,0.828960624993335,"8878/3162/6416/60/5609/801/92/3320/1843/1147/387/5879/5290/3685/805/3725",16
"hsa05012","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","33/596","147/3051",0.207868673142061,0.843965109424218,0.828960624993335,"11047/3799/1350/1349/2771/10383/7385/5684/1965/4708/57181/64116/801/5687/1843/818/836/4891/7381/4714/6233/1327/4709/374291/3708/817/54205/1345/805/6392/4710/5567/6391",33
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","14/596","57/3051",0.208967762806492,0.843965109424218,0.828960624993335,"2776/4659/2771/5595/10235/60/3937/387/7094/5290/3708/10125/5906/5567",14
"hsa03020","Genetic Information Processing","Transcription","hsa03020","RNA polymerase","6/596","21/3051",0.213257523092197,0.843965109424218,0.828960624993335,"171568/5432/10621/5440/27297/5437",6
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","15/596","62/3051",0.215962662773178,0.843965109424218,0.828960624993335,"10892/5595/5532/1540/801/1147/387/5290/3708/5533/5743/841/805/8915/3725",15
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","8/596","30/3051",0.218058147830323,0.843965109424218,0.828960624993335,"2776/801/818/3708/817/1386/805/5567",8
"hsa04014","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","19/596","81/3051",0.220055727439736,0.843965109424218,0.828960624993335,"5595/10235/6655/5898/8036/59345/801/1147/387/5879/5290/10681/5604/6654/10125/805/5906/2782/5567",19
"hsa04071","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","16/596","67/3051",0.222208954025743,0.843965109424218,0.828960624993335,"2776/2771/5519/5595/5528/1901/10558/253782/5527/5520/387/5879/5290/5604/5515/5170",16
"hsa04923","Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","5/596","17/3051",0.225655358038409,0.843965109424218,0.828960624993335,"2771/51099/5290/5743/5567",5
"hsa04148","Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","17/596","72/3051",0.227818373283898,0.843965109424218,0.828960624993335,"1398/6256/5595/5734/3091/1901/2057/55754/818/836/5879/817/5604/5743/3685/23200/7879",17
"hsa04022","Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","14/596","58/3051",0.229317311256822,0.843965109424218,0.828960624993335,"4209/2776/4659/2771/5595/5532/801/387/3708/5533/1386/5604/805/5997",14
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","9/596","35/3051",0.231455314290254,0.843965109424218,0.828960624993335,"2771/5595/801/387/836/51135/23643/805/3725",9
"hsa05022","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","51/596","237/3051",0.234500608772467,0.844767253288767,0.829748507894969,"11047/3799/5621/2776/29982/8878/1350/1349/10383/7385/5684/5595/1965/55081/5532/4708/10010/5609/801/5687/25978/203228/6310/818/10671/836/7381/5879/4714/1639/673/6233/1327/4709/374291/3708/5533/817/54205/5604/5743/1345/7976/51164/2521/841/805/5861/6392/4710/6391",51
"hsa05030","Human Diseases","Substance dependence","hsa05030","Cocaine addiction","4/596","13/3051",0.238186406900683,0.847830186467907,0.832756986532463,"2771/1386/5567/3725",4
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","35/596","160/3051",0.249850807337071,0.878886957573931,0.863261612966473,"6990/3799/51143/9842/10383/2316/5595/6416/5898/5788/60/55845/55207/5609/3840/391/3320/10671/1147/387/836/5879/1639/5290/51135/54205/5604/10109/51164/8797/23643/841/7879/375/3725",35
"hsa04750","Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","9/596","36/3051",0.259109978187699,0.89252355629538,0.876655772597821,"2776/5734/801/818/5290/3708/817/805/5567",9
"hsa04927","Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","5/596","18/3051",0.265854005973638,0.89252355629538,0.876655772597821,"2776/57552/3708/1386/5567",5
"hsa04664","Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","10/596","41/3051",0.268820537622884,0.89252355629538,0.876655772597821,"5595/6416/6655/3937/5609/5879/5290/5604/6654/5170",10
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","10/596","41/3051",0.268820537622884,0.89252355629538,0.876655772597821,"3799/6256/5595/27436/6655/5290/673/5604/6654/5170",10
"hsa05016","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","35/596","162/3051",0.276490811297437,0.89252355629538,0.876655772597821,"11047/3799/7019/2776/29982/1387/163/1350/1349/5432/10383/7385/5684/55081/4708/5609/5687/10671/836/5440/7381/4714/1639/1327/4709/374291/3708/54205/5437/1345/51164/841/6392/4710/6391",35
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","11/596","46/3051",0.276917306566333,0.89252355629538,0.876655772597821,"6256/6502/331/1164/1147/836/5290/54205/5743/7188/3685",11
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","20/596","89/3051",0.277308595969733,0.89252355629538,0.876655772597821,"3455/6256/5519/5595/1965/6655/5520/1147/836/5290/673/8554/54205/5604/8837/6654/5515/841/440275/7297",20
"hsa04917","Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","8/596","32/3051",0.277607661322643,0.89252355629538,0.876655772597821,"122809/5595/8835/6655/2592/5290/5604/6654",8
"hsa00190","Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","16/596","70/3051",0.281992016044974,0.896974604228162,0.881027687307365,"1350/1349/7385/51382/4708/7381/4714/1327/4709/374291/54205/1345/523/6392/4710/6391",16
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","31/596","143/3051",0.285060497246559,0.897190407123381,0.881239653537839,"3455/11224/6201/6173/6218/6155/6160/5595/6217/6229/6135/6159/6167/1147/6171/25873/5290/6233/6204/51135/6142/51065/6132/6125/6165/6193/3921/6164/7297/6138/3725",31
"hsa04662","Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","14/596","61/3051",0.294716415282301,0.910494399400669,0.894307119988688,"118788/10892/5595/5532/6655/11027/1147/5879/5290/5533/5604/6654/8915/3725",14
"hsa05231","Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","10/596","42/3051",0.29598887087685,0.910494399400669,0.894307119988688,"5595/6655/3091/5879/5290/6009/5604/6654/5170/3725",10
"hsa04216","Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","7/596","28/3051",0.298422913515938,0.910494399400669,0.894307119988688,"5621/3162/2182/2730/64116/4891/2181",7
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","41/596","194/3051",0.308679528970194,0.924441789355828,0.908006545433114,"11047/3799/2776/29982/1350/1349/10383/7385/5684/5595/1965/5532/4708/57181/5609/64116/801/5687/1147/836/4891/7381/4714/5290/673/1327/4709/374291/3708/5533/54205/5604/5743/8883/1345/7976/841/805/6392/4710/6391",41
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","18/596","81/3051",0.309539840392775,0.924441789355828,0.908006545433114,"3455/5595/5532/6655/3937/3683/4068/3106/836/5879/5290/673/5533/5604/6654/6452/8797/962",18
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","19/596","86/3051",0.312269634531567,0.924441789355828,0.908006545433114,"4087/23047/1387/25836/4085/546/5519/114799/545/9126/5528/29945/6502/5527/25847/10735/23244/902/5515",19
"hsa04727","Organismal Systems","Nervous system","hsa04727","GABAergic synapse","6/596","24/3051",0.322193528571398,0.94208744626347,0.925338487968696,"2771/59345/10681/54407/2782/5567",6
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","16/596","72/3051",0.324531795870025,0.94208744626347,0.925338487968696,"5595/6416/83737/1540/331/5609/1147/836/5290/1386/5604/8837/5743/7188/841/3725",16
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","18/596","82/3051",0.329809347796531,0.943902849795424,0.927121616239828,"1387/1398/3162/5595/6655/23405/3190/387/836/5290/4170/27086/5604/5743/7976/7329/6654/5962",18
"hsa05213","Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","7/596","29/3051",0.332834513081015,0.943902849795424,0.927121616239828,"5595/6655/5290/673/5604/6654/5170",7
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","21/596","97/3051",0.335691907766064,0.943902849795424,0.927121616239828,"89846/1398/4659/4627/5595/6655/60/55845/1902/3683/1729/387/5879/5290/673/5604/6654/10109/7852/3685/5962",21
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","13/596","58/3051",0.33778463186659,0.943902849795424,0.927121616239828,"1387/5532/818/387/5879/5533/817/7976/51701/79718/6259/5567/3725",13
"hsa04911","Organismal Systems","Endocrine system","hsa04911","Insulin secretion","5/596","20/3051",0.349902594016156,0.953059860919901,0.936115828891577,"2776/818/817/1386/5567",5
"hsa05216","Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","5/596","20/3051",0.349902594016156,0.953059860919901,0.936115828891577,"6256/5595/7175/673/5604",5
"hsa04914","Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","10/596","44/3051",0.35218681000309,0.953059860919901,0.936115828891577,"2771/4085/5595/29945/3320/25847/5290/673/5604/5567",10
"hsa03083","Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","12/596","54/3051",0.359651282398956,0.953059860919901,0.936115828891577,"10600/1387/63035/80012/8473/57666/7528/121536/84456/23512/55252/1912",12
"hsa00512","Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","3/596","11/3051",0.367115624804059,0.953059860919901,0.936115828891577,"9334/56913/6483",3
