"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","24/1405","41/4607",0.000171955595954407,0.00310475381584346,0.00270503247437049,"3588/2833/1236/6348/6351/6352/8743/8740/3560/3606/4049/8795/3627/5197/2919/5473/6374/4055/1230/1232/1436/1524/7132/8807",24
"hsa05416","Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","26/1405","47/4607",0.000327043519827997,0.00559416547074205,0.00487394497693801,"71/637/3689/8910/3134/3109/3108/3133/3122/5551/958/3135/3112/3115/3113/3123/3111/3117/3107/959/3119/942/3127/940/841/1604",26
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","29/1405","55/4607",0.000448710182099147,0.00729154045911115,0.00635279152550898,"3689/6348/6352/3553/1514/3606/3109/3108/3122/3112/3115/3113/3123/3111/3117/3119/2919/6374/155066/7099/533/8741/1513/54/942/7097/3127/940/1493",29
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","39/1405","86/4607",0.00240736658140524,0.037042035132317,0.0322730605687231,"5594/637/3460/3824/3689/6850/5530/5578/3804/3812/3802/3811/3809/8743/5058/4277/259197/5534/3133/5551/3135/7462/8795/3107/10870/100507436/5777/2885/3002/2207/5605/3822/117157/3932/5293/356/2215/919/51744",39
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","17/1405","30/4607",0.00250746083972607,0.037042035132317,0.0322730605687231,"115650/930/958/6890/6891/695/959/920/64421/4261/916/973/915/7374/926/925/3932",17
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","45/1405","104/4607",0.00362434493581494,0.0512135697452111,0.0446200818184997,"10379/4689/5594/10326/3460/140885/6850/5530/3553/2274/126014/11025/102725035/107987425/107987462/79168/10288/353514/11024/10859/11006/3727/5534/3709/695/2885/8651/653361/1436/1513/54/1432/488/2209/9021/6773/7132/6688/6772/2213/7048/3932/5293/2212/2215",45
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","21/1405","41/4607",0.00427045024283438,0.0578290137050489,0.0503838208474758,"71/93589/1000/3678/8910/1824/51176/3674/1495/3688/3693/488/3676/1832/3728/3691/55799/6932/1499/3655/4000",21
"hsa04662","Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","34/1405","75/4607",0.00448818336264172,0.0583463837143423,0.050834582086342,"5594/3635/4067/55024/6850/640/5530/27071/930/933/11025/102725035/107987425/107987462/79168/10288/353514/11024/10859/11006/5534/695/971/5777/2885/8519/5605/84433/973/974/25780/2213/5293/1380",34
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","53/1405","128/4607",0.00516108968926461,0.0645136211158076,0.0562078188830842,"5594/637/26253/3588/3460/3689/64581/6850/6714/5868/5530/5289/3553/3606/3684/3687/3109/3108/5534/3122/3112/3115/3113/3123/3111/3117/2033/3119/2207/7099/7096/3329/3920/387/9902/533/820/4261/1520/64127/1432/2209/7097/3127/7132/972/841/6772/2213/8844/2212/2215/1378",53
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","15/1405","27/4607",0.00575391337127815,0.0674992138182956,0.0588090316344017,"3689/3553/3043/3606/2995/958/6403/959/5175/7099/7057/2994/7097/3820/1378",15
"hsa04658","Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","31/1405","68/4607",0.00588538590280653,0.0674992138182956,0.0588090316344017,"5594/3460/4094/5530/28514/3560/3109/3108/5534/3122/3112/3115/3113/3123/3111/3117/3119/920/3516/2625/3566/916/1432/915/3127/4853/6772/3932/919/6775/864",31
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","47/1405","112/4607",0.00608046570799437,0.0674992138182956,0.0588090316344017,"2308/2322/5371/3087/860/4318/1669/4094/861/4300/3480/1031/3248/3560/1991/890/3684/4066/958/7030/55589/3002/3486/6667/7704/1053/64919/4609/1436/4149/2209/578/942/4353/7850/1050/4005/9611/64332/3728/6688/1848/604/4208/7048/8864/85414",47
"hsa00480","Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","19/1405","37/4607",0.00623069666015036,0.0674992138182956,0.0588090316344017,"4257/2882/290/4259/3418/4258/6240/51056/6241/2729/2879/2878/2876/4953/2948/2944/2947/9588/2946",19
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","63/1405","158/4607",0.00675680723765686,0.0708374952334993,0.0617175262115346,"6130/10379/6122/5594/4599/4600/6227/6210/6850/11224/6156/51284/57506/6206/5578/6144/728/3553/6188/6217/1675/6181/6133/2162/6224/6209/3661/6403/23521/1536/3627/6124/7450/6161/7099/6157/4938/5610/4940/4939/6169/6231/9636/6233/1432/6223/6128/7097/6193/6165/6175/834/6228/719/6773/7132/64135/6772/712/713/5293/2212/114548",63
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","16/1405","30/4607",0.00740874914122432,0.0752451084655595,0.0655576815457021,"3911/3678/51206/3915/6696/7450/1298/3674/3688/3693/7057/2811/960/3676/3691/3655",16
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","38/1405","89/4607",0.00930816313689068,0.091671303620893,0.0798690872033044,"71/4689/5594/23569/3689/64581/6850/6714/51284/5578/728/566/1991/10105/3684/1511/6403/1536/7450/7099/837/653361/27180/3674/5605/820/2811/1432/2357/2209/7097/4353/834/7416/5293/2212/2215/1378",38
"hsa00983","Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","20/1405","41/4607",0.010396324538565,0.0993766316186365,0.0865823932159133,"4257/2990/1066/1890/8833/4259/7371/4830/978/4258/7084/7083/6240/6241/4353/3615/2948/2944/2947/2946",20
"hsa04978","Organismal Systems","Digestive system","hsa04978","Mineral absorption","14/1405","26/4607",0.0108222714613599,0.100492520712627,0.0875546172362648,"3162/4502/4493/4494/483/482/538/1317/140803/7779/79901/2495/481/493",14
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","35/1405","82/4607",0.0123438387539465,0.11143743319535,0.0970904276260705,"5594/3911/3588/3460/2771/10105/146850/3915/3109/3108/3304/3122/958/3112/3115/3113/3123/3111/3117/959/3119/7099/8651/3310/3688/4261/5294/1432/7097/3127/7132/841/6772/5606/3655",35
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","30/1405","69/4607",0.0147416932626322,0.129487846225823,0.112816941327114,"10161/5729/10800/5732/5023/5724/728/5739/27346/4987/1511/133/10316/6915/5029/5368/7433/79957/3001/53637/9934/53829/84634/2357/5026/719/2150/140/2859/10911",30
"hsa00590","Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","12/1405","22/4607",0.015859698198595,0.135642155645878,0.118178914554628,"8644/4051/3248/4048/246/2053/239/5743/8605/6916/2879/151056",12
"hsa00860","Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","11/1405","20/4607",0.0192252539945411,0.160210449954509,0.139584165304496,"3162/644/2990/2235/212/2395/7389/7390/3145/645/2495",11
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","62/1405","163/4607",0.0220164948499684,0.174041501927048,0.151634539330772,"10379/637/4067/6850/3665/57506/930/898/3134/8819/890/1870/6416/3109/3108/965/3133/3122/958/3661/3135/3112/6890/5701/3115/2208/6891/3113/3123/3111/3117/3107/695/7431/3119/3627/6892/3516/1871/4609/4938/5610/4940/4939/916/5719/9636/1432/960/7874/578/7097/915/3127/6773/841/6772/5606/5293/1380/919/864",62
"hsa00561","Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","16/1405","33/4607",0.0224052239046558,0.174041501927048,0.151634539330772,"56894/9663/57104/1608/10554/2710/1606/253558/1609/2717/10555/11343/129642/84649/150763/128966744",16
"hsa00010","Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","19/1405","41/4607",0.023177648252798,0.174041501927048,0.151634539330772,"5106/3939/84532/9562/3099/130589/669/2203/230/7167/5214/3945/3098/5315/2597/92579/221/3101/2023",19
"hsa05204","Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","10/1405","18/4607",0.0233272379719903,0.174041501927048,0.151634539330772,"4257/4259/4258/5743/6817/2948/2944/2947/1545/2946",10
"hsa04614","Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","7/1405","11/4607",0.0235625417993542,0.174041501927048,0.151634539330772,"290/1511/1359/5476/5547/4311/4012",7
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","34/1405","83/4607",0.0265206082738889,0.191537726422531,0.166878213466108,"5594/3460/861/6095/5530/3553/3560/3109/3108/5534/3122/3112/3115/3113/3123/3111/9466/3117/3119/920/2625/3566/50615/916/1432/3326/915/3127/3556/6772/7048/3932/6097/919",34
"hsa00982","Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","9/1405","16/4607",0.0283310200414173,0.196391711910926,0.171107272887576,"4257/4259/4258/221/2948/2944/2947/2330/2946",9
"hsa04142","Cellular Processes","Transport and catabolism","hsa04142","Lysosome","45/1405","115/4607",0.0284012629532724,0.196391711910926,0.171107272887576,"2548/2581/4668/3423/1508/55353/2990/10577/410/427/175/1514/23312/3988/1511/4864/4758/1512/5660/4074/57192/5476/20/1521/950/411/3425/3920/1200/5538/2717/533/1211/2799/1510/1513/1520/54/1777/6448/1212/2517/2760/3074/6556",45
"hsa00980","Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","11/1405","21/4607",0.0294615272178799,0.199479090537729,0.173797167140564,"4257/4259/29785/4258/221/8574/2948/2944/2947/1545/2946",11
"hsa04727","Organismal Systems","Nervous system","hsa04727","GABAergic synapse","16/1405","34/4607",0.0306281156556477,0.20314566506297,0.176991688751219,"115/2788/6714/2771/81539/2791/5578/11345/92745/59345/2752/18/54331/66008/6539/5334",16
"hsa04621","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","52/1405","137/4607",0.0353208416613305,0.229585470798648,0.200027503303114,"55072/10379/5594/1508/3665/1669/57506/6352/3553/11345/81858/3606/3709/4671/3661/10616/1536/10135/2919/9927/7099/837/838/387/820/4938/4940/4939/7295/4210/2635/64127/2633/2634/115361/1432/91662/81631/24145/22900/3326/834/5580/6773/84674/115362/841/6772/7416/3428/9447/114548",52
"hsa00830","Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","7/1405","12/4607",0.0418786418608946,0.264067750510916,0.230070364007892,"216/157506/112724/51109/29785/10170/9249",7
"hsa01232","Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","25/1405","60/4607",0.0426230550423235,0.264067750510916,0.230070364007892,"4860/1890/26289/8833/2766/132/56953/7371/4830/978/1635/7084/7083/6240/51251/957/6241/50808/1716/129607/272/3615/115024/2987/84284",25
"hsa00052","Metabolism","Carbohydrate metabolism","hsa00052","Galactose metabolism","11/1405","22/4607",0.0430633562371648,0.264067750510916,0.230070364007892,"2548/3099/130589/8972/5214/3098/2584/2717/2683/92579/3101",11
"hsa00532","Metabolism","Glycan biosynthesis and metabolism","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","9/1405","17/4607",0.0442461907596206,0.26629651846068,0.232012189363313,"56548/64131/51363/92126/10090/55501/55790/166012/126792",9
"hsa04820",NA,NA,"hsa04820","Cytoskeleton in muscle cells","39/1405","101/4607",0.0483259939060516,0.285562691263032,0.248797939918237,"71/10398/7791/3678/8910/10611/483/2274/482/2273/1824/9172/7431/23224/9124/1298/1462/288/4001/3674/3688/3693/7057/272/3676/4635/830/7171/1832/91010/1465/3728/4608/3691/481/2201/2023/3655/4000",39
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","12/1405","25/4607",0.0493461343527731,0.286383815440201,0.249513348513082,"8660/5594/5581/3099/3098/5315/8651/9021/5580/3101/5293/777",12
"hsa00531","Metabolism","Glycan biosynthesis and metabolism","hsa00531","Glycosaminoglycan degradation","8/1405","15/4607",0.054482254389045,0.307878837676621,0.26824099541704,"3423/2990/10855/411/3425/2799/6448/3074",8
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","13/1405","28/4607",0.05494453103152,0.307878837676621,0.26824099541704,"80781/483/482/1359/5547/1298/4311/9056/117247/1296/3783/6510/481",13
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","27/1405","68/4607",0.0654406227555818,0.35885579987577,0.312654931713626,"71/4267/4689/3689/10398/4318/2771/9080/7122/5578/3684/87/394/1536/5175/653361/387/7294/1495/3688/1432/3676/83700/5829/90952/1499/5293",27
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","52/1405","142/4607",0.0662503015155267,0.35885579987577,0.312654931713626,"10379/5155/5594/637/4067/2788/6850/6714/3665/5530/5289/2791/3055/3134/1870/4277/146850/6416/5534/3709/3133/3661/3135/59345/51176/3107/2033/100507436/2919/1871/54331/5605/1230/1232/4609/5610/5294/7314/5743/6233/1432/81631/578/7316/942/6773/7132/841/6772/6932/1499/5293",52
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","21/1405","51/4607",0.0677355666287352,0.360886215644901,0.314423941727865,"3911/3689/5868/5578/3553/5272/5269/3684/1511/3915/87/2919/7099/909/911/5052/383/7097/7850/5293/912",21
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","23/1405","58/4607",0.0857133169557984,0.449303677590879,0.391458102905089,"2322/5594/5371/861/890/3684/51176/2885/7704/5292/1053/5605/4609/1436/2209/4353/1050/3728/6688/6932/1848/5293/8864",23
"hsa00500","Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","9/1405","19/4607",0.0913646617977686,0.464856623963284,0.405008686141291,"2548/5836/3099/2992/8972/5834/3098/92579/3101",9
"hsa04620","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","28/1405","73/4607",0.0915409967189237,0.464856623963284,0.405008686141291,"10379/5594/3665/51284/6348/6351/6352/1326/3553/6416/958/3661/3627/6696/7099/7096/5605/3663/1513/1432/942/7097/6773/841/6772/5606/5293/7100",28
"hsa04666","Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","27/1405","71/4607",0.105412557959776,0.52706278979888,0.459206122934085,"5594/3635/4067/6850/8853/5581/50807/4082/5578/3055/5058/3985/2934/653361/10093/10095/8605/2209/5580/10092/2213/10097/274/5293/2212/2215/10163",27
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","33/1405","89/4607",0.107695690320923,0.530319687186362,0.462043711265203,"71/6612/5155/3162/4257/6714/4318/3553/1514/4259/6416/7056/5175/4258/653361/387/3674/4205/7295/1432/3326/7850/659/7132/5562/10365/4208/1499/5293/2948/2944/2947/2946",33
"hsa05100","Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","19/1405","48/4607",0.113257093461081,0.549381423505245,0.478651345499306,"71/2017/6714/3678/3611/387/1495/3688/1211/10093/10095/23607/5829/1212/10092/1499/10097/5293/10163",19
"hsa00564","Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","22/1405","57/4607",0.117885202280008,0.563421922661803,0.490884201444615,"56894/8760/9791/375775/79143/9663/1608/56985/56994/10554/162466/23761/1606/253558/1609/10555/8605/9489/129642/151056/150763/128966744",22
"hsa04973","Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","10/1405","23/4607",0.130632978364484,0.615300260412426,0.536083465752041,"6518/3099/483/482/8972/3098/92579/3101/481/5293",10
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","19/1405","49/4607",0.134337705126783,0.623710773802923,0.543411168106838,"5594/3689/2771/3678/3553/3684/3661/710/6374/7099/387/3688/3394/1432/834/712/713/722/114548",19
"hsa04217","Cellular Processes","Cell growth and death","hsa04217","Necroptosis","35/1405","97/4607",0.136985686547111,0.627047156729733,0.546318008616351,"55072/10379/637/3460/5836/8743/3553/81858/81030/2746/5834/10616/5478/8795/91782/1536/2752/246/7099/142/5610/8605/3326/834/6773/7132/192111/841/2495/6772/7416/824/356/6775/114548",35
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","41/1405","116/4607",0.147861185227698,0.655565896871846,0.571165105290775,"6541/8660/5155/5594/5728/6659/9252/3162/4318/5581/3678/4082/5578/898/1870/23411/5243/1942/2033/7431/2885/3925/1871/8651/387/5292/5605/4609/7057/11186/5743/960/578/1786/659/9839/4194/4853/5293/1545/85414",41
"hsa04216","Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","14/1405","35/4607",0.149015007437285,0.655565896871846,0.571165105290775,"3162/5621/55240/8031/6303/51703/1536/246/2729/81631/2180/5094/2879/2495",14
"hsa05143","Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","8/1405","18/4607",0.151227841651493,0.655565896871846,0.571165105290775,"5578/3553/3043/8542/3606/3620/2150/356",8
"hsa04972","Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","16/1405","41/4607",0.153663818553713,0.655565896871846,0.571165105290775,"5874/115/760/8766/5578/483/482/952/683/1359/3709/387/6558/488/481/493",16
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","47/1405","135/4607",0.155985934369108,0.655565896871846,0.571165105290775,"71/2017/5594/23191/81027/84617/6714/10972/7009/9080/7122/8743/3553/6188/27128/64005/3606/5058/4671/203068/7280/8795/5777/5062/7099/837/4691/387/2597/3688/10093/10095/1432/578/9265/834/2768/7132/841/10092/7846/10097/356/2212/10163/7100/114548",47
"hsa00533","Metabolism","Glycan biosynthesis and metabolism","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate","5/1405","10/4607",0.158684116728587,0.655565896871846,0.571165105290775,"6483/9435/6487/2683/6482",5
"hsa00630","Metabolism","Carbohydrate metabolism","hsa00630","Glyoxylate and dicarboxylate metabolism","9/1405","21/4607",0.159352941085772,0.655565896871846,0.571165105290775,"84532/9380/847/6472/48/2752/4190/4191/5096",9
"hsa02010","Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","9/1405","21/4607",0.159352941085772,0.655565896871846,0.571165105290775,"9619/8714/23461/19/6890/5243/6891/20/10057",9
"hsa05131","Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","62/1405","182/4607",0.16222796933691,0.659051125431197,0.574201628310906,"71/2308/55072/7307/102724594/2017/5594/9252/10398/6714/5581/3678/5289/2309/4303/3099/6352/3553/55062/27128/81858/3606/3709/4671/3661/87/11335/10241/10616/3611/3098/7099/837/387/3688/10093/10095/7314/6233/1432/960/81631/92610/831/58528/26100/7316/9265/5829/834/5580/7132/3101/6500/10092/7416/10097/824/5293/10163/7100/114548",62
"hsa01523","Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","10/1405","24/4607",0.165523627057823,0.664138009799908,0.578633602060487,"6472/8714/3553/8836/239/1719/2352/2350/10057/4524",10
"hsa04961","Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","11/1405","27/4607",0.170245589349496,0.674753860226661,0.587882715468735,"115/8766/5578/483/482/1211/1173/1175/1212/481/493",11
"hsa00600","Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","13/1405","33/4607",0.176629815579881,0.683389167422158,0.595406270563759,"64781/2581/410/427/55512/4758/5660/55331/9517/2717/2760/3074/8560",13
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","13/1405","33/4607",0.176629815579881,0.683389167422158,0.595406270563759,"5594/1612/9252/6714/4318/1890/1870/1871/23604/5605/4609/7057/11186",13
"hsa00562","Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","21/1405","57/4607",0.182520834123164,0.68975896616312,0.600955989952646,"3613/8897/5305/3635/5728/9562/9651/9107/5289/51763/8871/7167/4329/64419/5294/3707/3628/5287/3631/5293/3633",21
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","21/1405","57/4607",0.182520834123164,0.68975896616312,0.600955989952646,"5594/654/7027/1875/4092/3399/1874/2033/375387/1030/6667/387/4609/7057/2014/659/9241/9611/6500/285704/7048",21
"hsa00620","Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","12/1405","31/4607",0.209086810493176,0.76263846408485,0.664452621340323,"5106/3939/84532/9380/4199/3029/4190/3945/5315/4191/2271/10873",12
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","17/1405","46/4607",0.211052611282112,0.76263846408485,0.664452621340323,"2322/5594/3939/5728/3099/3418/9123/5214/3945/3098/5315/5605/4609/6510/3101/6513/5293",17
"hsa04970","Organismal Systems","Digestive system","hsa04970","Salivary secretion","14/1405","37/4607",0.211060242336459,0.76263846408485,0.664452621340323,"1471/115/4069/5578/483/482/952/683/3709/6558/820/3783/481/493",14
